x_value,total_1,total_2
0,1000,1000
1,1006,996
2,1014,995
3,1019,996
4,1014,999
5,1021,1002
6,1020,1005
7,1015,1002
8,1023,998
9,1017,993
10,1021,990
11,1026,992
12,1020,990
13,1016,993
14,1022,997
15,1026,999
16,1026,995
17,1020,998
18,1016,1004
19,1011,1003
20,1012,1006
21,1020,1005
22,1025,1005
23,1028,1011
24,1023,1016
25,1026,1022
26,1028,1023
27,1028,1018
28,1028,1014
29,1033,1017
30,1027,1021
31,1028,1022
32,1031,1025
33,1039,1031
34,1034,1026
35,1038,1024
36,1037,1021
37,1033,1023
38,1039,1027
39,1037,1029
40,1036,1035
41,1038,1036
42,1035,1036
43,1037,1042
44,1041,1044
45,1044,1039
46,1045,1044
47,1043,1043
48,1047,1048
49,1046,1053
50,1051,1048
51,1048,1047
52,1042,1044
53,1043,1040
54,1051,1040
55,1058,1043
56,1063,1046
57,1058,1052
58,1066,1055
59,1072,1055
60,1069,1057
61,1077,1057
62,1081,1057
63,1078,1052
64,1082,1058
65,1081,1054
66,1088,1055
67,1091,1052
68,1092,1055
69,1096,1060
70,1091,1066
71,1089,1065
72,1092,1063
73,1090,1058
74,1095,1060
75,1097,1062
76,1104,1064
77,1109,1067
78,1111,1063
79,1113,1061
80,1118,1056
81,1123,1052
82,1119,1049
83,1123,1045
84,1125,1051
85,1121,1053
86,1129,1050
87,1137,1048
88,1145,1044
89,1147,1045
90,1142,1049
91,1149,1045
92,1156,1041
93,1163,1047
94,1162,1049
95,1166,1044
96,1167,1047
97,1171,1045
98,1168,1043
99,1173,1048
100,1172,1050
101,1176,1056
102,1182,1055
103,1183,1055
104,1187,1061
105,1184,1062
106,1187,1060
107,1181,1057
108,1189,1062
109,1196,1067
110,1201,1063
111,1208,1062
